車両番号,ナンバー（車両番号別に登場最初のみ表示）,路線番号（0は無番-は回送など）,確認日,確認時刻,確認最寄りバス停,塗装（車両番号最初のみ）,所属?（車両番号最初のみ）,コメント
24-514,,96,2025/11,08:12,角間新町,,,
24-514,,96,2025/11,08:19,金沢大学角間口,,,
24-514,,96,2025/11,08:26,金沢大学中央,,,
24-514,,96,2025/11,08:15,角間新町,,,
37-371,,96,2025/11,16:26,金沢大学中央？,,,
33-243,,,2025/11,08:15,角間新町,,白山,
33-243,,,2025/11,08:11,角間新町,,,
33-243,,,2025/11,08:22,金沢大学角間口,,,雨
30-894,,?,2025/11,08:15,角間新町,,,
30-894,,?,2025/11,08:13,角間新町,,,
30-894,,?,2025/12/04,08:11,角間新町,,,インターバル
38-807,,?,2025/11,08:17,金沢大学角間口,,,
38-807,,?,2025/11,08:24,金沢大学中央,,,
32-979,,94,2025/11,08:17,金沢大学角間口,金沢城,,（ちょっと怪しい）
28-402,,,2025/11,08:20,金沢大学角間口,ピンク,,
28-402,,,2025/11,08:24,金沢大学中央,,,
28-402,,,2025/11,08:19,角間新町,,,雨
37-374,,94?,2025/11,09:43,若松,,,
37-373?,,99,2025/11,08:19,金沢大学角間口,,,
28-404?,,?,2025/11,08:17,金沢大学角間口,ピンク？,,
25-298,,93,2025/11,08:17,角間新町,,,快速、雨
24-514,,,2025/11,08:17,角間新町,,,
36-345,,94,2025/11,08:19,角間新町,,,
25-298?,,93,2025/11,08:10,角間新町,,,快速
27-368?,,?,2025/11,08:20,角間新町,,,雨
17-368,,93,2025/11,08:24,金沢大学角間口,,,
35-308,,94,2025/11,08:25,金沢大学角間口,コーラ,,
39-839?,,96?,2025/11,12:34,角間新町,,,
29-435,,97,2025/11,12:36,角間新町,,,インターバル
?_2025/11-08:14,,,2025/11,08:14,角間新町,ピンク,,坂下交差点で合流？
24-336?,,94?,2025/11,10:27,金沢大学角間口,,,
39-839,,96,2025/12/03,12:42,金沢大学角間口,,,インターバル
23-221,,96,2025/11,14:39,金沢大学中央,,,
37-371,,96,2025/12/05,16:26,金沢大学角間口,,,インターバル
34-278?,,93,2025/12/05,16:26,金沢大学角間口,,,インターバル
25-294,,94,2025/12/09,12:04,金沢大学中央,前面ノンステップ,,
23-231?,,94?,2025/12/09,12:13,角間新町,前面ノンステップ​,,
10-890,,94?,2025/12/09,12:18,角間新町,,,-809になっていたが記録ミスか
20-457,,96,2025/12/09,17:22,若松,建設ドットウェブ,,サークル行くのに乗るやつ
