車両番号,ナンバー（車両番号別に登場最初のみ表示）,路線番号（0は無番-は回送など）,確認日,確認時刻,確認最寄りバス停,塗装（車両番号最初のみ）,所属?（車両番号最初のみ）,コメント
32-524,,94,2025/11,10:32,角間新町,,,
24-514,,99?,2025/11,16:23,金沢大学中央,,,
24-514,,99?,2025/11,16:24,金沢大学中央,,,
24-514,,99?,2025/11,16:30,金沢大学角間口,,,
34-267,,,2025/11,16:26,金沢大学中央,,,田井町行 少なくとも当時は無番だったはず
34-267,,,2025/11,16:31,金沢大学角間口,,,田井町行 少なくとも当時は無番だったはず
23-22?,,53?,2025/11,10:48,若松,,,
33-243,,-,2025/11,08:23,金沢大学中央,,,
33-243,,-,2025/11,08:25,金沢大学中央,,,
30-894,,-,2025/11,08:24,金沢大学中央,,,
30-894,,-,2025/11,08:25,金沢大学中央,,,雨
20-465,,53,2025/11,11:10,若松,,,
33-231,,-,2025/11,10:30,角間新町,,,
3?-542,,94?,2025/11,10:31,角間新町,,,
38-841?,,-,2025/11,10:31,角間新町,,,
31-923,,-,2025/11,08:30,金沢大学中央,,,
30-893,,-,2025/11,12:42,金沢大学中央,,,
33-839?,?,-,2025/11,12:44,金沢大学中央,,,
34-524,,92,2025/11,07:21,若松,,,日曜?
33-243,,-,2025/11,08:20,金沢大学角間口,,,
??-304,,94?,2025/11,08:20,金沢大学角間口,,,
24-570?,,9?,2025/12,16:27,金沢大学角間口,,,インターバル
2?4-514,,9?,2025/12,16:29,角間新町,,,インターバル
33-243,,-,2025/12,08:24,金沢大学角間口,,,
29-435?,,94?,2025/12,12:13,角間新町,,,
34-528,,-,2025/12,12:20,角間新町,,,
23-238,,9?,2025/12,,金沢大学中央,,,
?_2025/12-15:49,,53,2025/12,15:49,金沢大学中央,建設ドットウェブ,,
?_2025/12-15:49,,53,2025/12,15:56,金沢大学角間口,建設ドットウェブ,,
??-402,,-,2025/12,,,ピンク,,
37-373,,-,2025/12/11,08:27,金沢大学中央,,,
26-331,,-,2025/12/11,08:27,金沢大学中央,,,
29-435,,53,2025/12/12,10:12,金沢大学中央,,,
?_2025/12/12-16:22,,,2025/12/12,16:22,金沢大学中央,コカ・コーラ,,
24-514,,,2025/12/12,16:23,金沢大学中央,,,
36-267??,,94,2025/12/12,,,,,田井町行
32-980,,92,2025/12/14,07:01,若松,,,
33-343?,,-,2025/12/15,08:22,金沢大学角間口,,,
30-894,,-,2025/12/15,08:25,金沢大学角間口,,,
23-228,,93?,2025/12/15,08:27,金沢大学中央,,,
37-374,,-,2025/12/15,10:21,金沢大学角間口,,,
34-524,,94,2025/12/15,10:32,若松,,,
??-634,,-,2025/12/16,08:26,金沢大学角間口,大鉄工業,,
23-238,,,2025/12/16,08:26,金沢大学中央,,,回送？
28-402,,99?,2025/12/16,12:18,角間新町,ピンク,,雨
38?-775,,-,2025/12/16,12:21,角間新町,,,雨
25-334?,,94,2025/12/16,12:22,角間新町,,,雨
23-238,,9?,2025/12/17,08:28,金沢大学中央,,,
36-308?,,96?,2025/12/17,16:22,金沢大学中央,コカ・コーラ,,
36-308?,,96?,2025/12/17,16:29,金沢大学角間口,コカ・コーラ,,
24-514,,99?,2025/12/17,16:30,金沢大学角間口,,,
33-243,,-,2025/12/18,08:26,Kk,,,
37-373,,-,2025/12/18,08:26,Kk,,,
23-238,,93,2025/12/18,08:27,Kk,,,自然研スルー号
24-261,,-,2025/12/18,08:28,Kc,前面ノンステップ,,
?_2025/12/18-08:32,,53,2025/12/18,08:32,Kc,,,
21-930,,93,2025/12/19,10:04,ks,,,
29-433,,-,2025/12/19,10:08,ks,,,
32-980,,-,2025/12/19,16:27,Kc,,,自然研から？
21-918,,53,2025/12/19,16:39,ks,,,
30-894??,,?,2025/12/19,16:45,w,,,しっかり見てないからわからん
34-277,,-,2025/12/20,09:16,w,,-,土曜
30-894,,-,2025/12/22,08:23,Kk,,,
23-224,,-,2025/12/22,08:24,Kk,前面ノンステップ,,
37-373,,-,2025/12/22,08:26,Kc,,,
25-298?,,93,2025/12/22,08:27,Kc,,,自然研スルー
33-231,,-,2025/12/22,10:30,ks,,k,
31-924,,-,2025/12/23,10:00,ks,,,
23?-9??,,93,2025/12/23,10:04,ks,運転士,,
?_2025/12/23-10:13,765,-,2025/12/23,10:13,Kc,前面ノンステップ(枠じゃない),,
37-374,,-,2025/12/23,10:17,Kc,,,
38-775,,94,2025/12/23,12:13,Kk,,,
10-890,,99,2025/12/23,12:18,ks,,,
34-528,,-,2025/12/23,12:21,w,,k,
36-777,,-,2025/12/24,08:25,Kk,,,
37-373,,-,2025/12/24,08:25,Kk,,,
??-324,,-,2025/12/24,08:25,Kk,,,
?_2025/12/24-08:27,,93,2025/12/24,08:27,Kc,ICa,,自然研スルー
26-331,,93,2025/12/24,08:29,Kc,,,
38-775,,-,2025/12/24,12:52,Kk,,k,
20-456?,,-,2025/12/24,12:57,,,k,
?_2025/12/25-08:26,1201,,2025/12/25,08:26,Kc,ICa,,雨
37-373,,-,2025/12/25,08:28,Kc,,,雨
??-243,,-,2025/12/25,08:28,Kc,,,雨
?_2025/12/26-10:04,,,2025/12/26,10:04,Kk,運転士募集,,雪　積雪5~10cm
37-374,,-,2025/12/26,10:06,Kk,,,雪　積雪5~10cm
28-402,,99,2025/12/26,12:21,Ks,ピンク,,雪　積雪5~10cm
